"x","y"
-4.26678,52.0018
-3.92735,52.99383
-0.770406,51.246101
-3.278396,54.540851
-0.424915,53.842161
-5.339253,56.470931
-3.895962,52.331001
-2.45357,53.524654
-4.52589,50.59785
-2.052785,52.427377
-1.551393,53.41548
0.449224,51.323303
-1.380048,53.638403
-1.606195,53.683671
-5.18907,50.2149
-2.757986,52.236922
-3.346127,51.660545
-2.75007,52.704059
-2.108028,53.549113
-0.29011,51.65495
-3.90749,56.025396
-3.21503,51.55313
0.720661,51.360648
-1.546192,52.285746
-2.312767,53.400607
-0.33757,51.70858
-2.648642,53.545936
-4.032053,55.78156
-2.365839,52.666137
-0.9633,51.41723
-2.148589,53.571032
-1.177811,53.489921
-1.76238,54.67107
-1.260097,53.277014
-2.3182,53.6886
-2.931184,54.885799
-1.79777,53.56668
-1.081174,51.203249
-2.093106,51.476071
-1.904126,51.626558
0.18476,51.5595
-2.629431,53.584072
-1.152278,52.940997
-0.690713,53.631446
-1.51379,53.397872
-0.625285,50.960805
-0.55795,51.50972
-2.020648,53.455675
-2.642402,51.488451
-2.367876,53.489438
-1.62823,54.95602
-1.88696,53.61991
-1.608318,53.48483
-0.038689,51.128203
-6.21901,54.709919
-0.58391,51.51406
-2.980511,54.4408
-1.198032,52.935054
-2.26672,53.50934
-3.089432,52.929472
-1.3404,53.3433
-1.387846,53.511728
-3.156332,55.907573
-2.335982,57.540178
-3.415749,54.65963
-4.488156,55.51224
-4.81131,51.93396
-3.72836,55.24853
-3.58065,56.56275
-2.313139,51.358022
-1.505319,53.36764
-1.588009,54.914808
-1.715356,53.601817
-3.419055,55.933427
-4.64187,50.36478
-0.374546,51.505443
-1.0737,53.9585
-1.389356,54.810632
-1.51532,54.14372
-0.949798,53.68027
-2.767682,57.455918
-3.94229,53.005
-1.224625,53.706473
-1.66784,54.97818
-0.742506,51.582969
0.26175,51.10651
-4.23364,55.8398
-9.318988,54.100446
-1.57395,53.833744
-2.30743,51.751985
-4.20186,55.971587
-2.214235,53.042345
-3.795039,54.965141
-1.403434,53.412193
-3.38361,56.35033
-5.261688,56.546473
-2.172258,53.664154
-4.30614,51.85225
-1.605655,54.963924
-3.419508,54.383157
-2.952593,51.617721
-3.012,53.810511
-0.419074,52.030629
-2.446662,52.617062
-1.408666,52.926688
-4.466877,52.04061
-1.305371,53.130429
-3.79498,55.146973
-2.200227,54.300214
-3.606662,55.043276
-3.243921,55.924093
-2.17973,52.583446
-1.86475,53.62389
-3.43401,51.571469
-2.155004,53.128382
-1.852928,52.967395
-2.290961,53.43597
-4.505696,55.597061
-4.75412,50.37777
-2.8441,56.2923
-2.75497,52.69163
-3.491932,56.053665
